iteration,vortex_area,omega_value,error,psi_min,residual_norm
1,0.04787514170902553,-52.21916658115488,0.025347521946701583,-0.14846188499002017,0.2882110839346671
2,0.08460362639773687,-29.549560774700723,0.028506805819848925,-0.17505017185404018,0.2345495789584986
3,0.1168557531942688,-21.393897447597922,0.02270837476958098,-0.1781502980571479,0.2150005109299472
4,0.14344528742526763,-17.428247695501703,0.015286007830999352,-0.17238425285834183,0.20452047011644356
5,0.16241554630305224,-15.39261515849741,0.008558261916965864,-0.16417806928909498,0.19850800878007627
6,0.17548524986874753,-14.246211586841916,0.004912823591701627,-0.15693092256848484,0.19478156961930232
7,0.18184703137598454,-13.747818598319775,0.0036888363478215142,-0.15491403449777308,0.19491926739627877
8,0.18792830396363477,-13.302945576967291,0.0020480198770869793,-0.1504152809817425,0.19269060367774243
9,0.18949575606387645,-13.192907598190663,0.0020854181967025114,-0.1502484913751048,0.19393444076472616
10,0.19276430403977943,-12.969206163212109,0.0011488702029999935,-0.14760982337660825,0.19289085500224515
11,0.19413809765722562,-12.877431221223016,0.0009346445760526866,-0.14578335284893687,0.19245285343150545
