iteration,vortex_area,omega_value,error,psi_min
1,0.04781860441731278,-52.28090678227473,0.025750739886683985,-0.15102119089966884
2,0.08468011563007993,-29.522869464669864,0.028326470665381877,-0.17549658332780874
3,0.11679517536410797,-21.404993761140144,0.022972083740220625,-0.17878674521811772
4,0.14325708454602032,-17.451143920194,0.015030306420128198,-0.17225596682453745
5,0.16201980288216436,-15.430212576040653,0.009127858428443842,-0.16473427549180694
6,0.17564205748196188,-14.233493024623362,0.004804291088614188,-0.15697087452282757
7,0.18239080300051116,-13.706831478739602,0.003156292087220133,-0.15374414379325962
8,0.18705389157653438,-13.3651322564284,0.0019501665908355555,-0.15011344811566557
9,0.18878684512010394,-13.242448108127078,0.0014164682679462558,-0.1489762822432144
10,0.19113660577091765,-13.07965049351309,0.0011060181655515658,-0.14646898694672633
11,0.1926593053716859,-12.976274336590707,0.0011379229383853607,-0.14423839339940384
12,0.1923416436145995,-12.997705296775576,0.0005799332289065141,-0.1438560385544123
13,0.19221086178634628,-13.006549040807577,0.00042406177280120155,-0.14344433039078833
14,0.1923024017779057,-13.000357649652788,0.00036677883027061924,-0.14293251484797487
15,0.1924369646273031,-12.991267061615762,0.0006150624049793766,-0.14200773785335596
16,0.19142925849245113,-13.059654619612841,0.0005712220629380671,-0.14301742740069007
17,0.19223685033275062,-13.004790682289311,0.00037899476180259774,-0.1421383206278993
18,0.19253686939881137,-12.98452606924663,0.00013993758333708718,-0.1418501441238818
19,0.19253686939881137,-12.98452606924663,0.00018159823354651616,-0.14164384389593976
20,0.19244474140748496,-12.990742078560972,0.0001224312672015438,-0.14159133017409603
21,0.19244474140748496,-12.990742078560972,4.078158143750408e-07,-0.1415913538565013
