iteration,vortex_area,omega_value,error,psi_min,residual_norm
1,0.04787514170902553,-104.43833316230976,0.0654450603612913,-0.3302253153582856,0.5764221678693342
2,0.1254309429570181,-39.86257204263679,0.1036673019814857,-0.43180914380197477,0.42463879751161177
3,0.22420471956353244,-22.30104705081001,0.08437850873771284,-0.4106471604055872,0.36802417107549895
4,0.3142934830013639,-15.908697667709204,0.05459918770763182,-0.3714184435623082,0.3452809718693234
5,0.37886672485446216,-13.197252944081326,0.032682949591561095,-0.34012942480378494,0.33388624225120683
6,0.421608986210845,-11.859329766513845,0.02080225857627068,-0.316392457318324,0.3277820665792156
7,0.4475992616291517,-11.17070654183214,0.01473536423325414,-0.29849370416340515,0.32416468096612533
8,0.45983088921733434,-10.873562688470894,0.011346170932834033,-0.2886523145125089,0.3237698872937071
9,0.4676322615675765,-10.692162220029939,0.008683327777348858,-0.2793817008128894,0.3228354395788203
10,0.4722248756732797,-10.588175798386725,0.008146235076502297,-0.2714662844026436,0.32280944963763825
11,0.4726493210726895,-10.578667475185142,0.005236276675374648,-0.26802810682854006,0.3245983738824709
12,0.47590095538496713,-10.506387817514227,0.006564528214675647,-0.26136909540936976,0.32449274505083425
13,0.4755401562064356,-10.514359165557961,0.004248407833261085,-0.260462776929696,0.32687525028836734
14,0.4795960127047678,-10.425441137013634,0.0038589416121588673,-0.2558532351778327,0.3258554247009668
15,0.4802054852242859,-10.412209260093496,0.0016272012250193473,-0.2541758468481672,0.325493585169617
16,0.4788467808599056,-10.441753395566485,0.001850492921330216,-0.2553878765418802,0.3274258861293452
17,0.48175706729920326,-10.378674936790635,0.0019375324301420286,-0.25340138921626176,0.3273303761762051
18,0.4827042408228405,-10.358309658677875,0.002433431210482749,-0.2514422125106418,0.32760617174801787
19,0.4827071457996099,-10.358247321401143,0.0007204297687659207,-0.2512332520296876,0.32797688185317114
