iteration,vortex_area,omega_value,error,psi_min,residual_norm
1,0.008209357692605244,-304.5305240204028,0.03608194961921343,-0.30844939710875247,0.31275566886483086
2,0.0308305560037132,-81.08838516239872,0.039403568547501225,-0.26348649572584454,0.19258473163774567
3,0.06424140720717515,-38.91571042237029,0.03325739942256058,-0.22400027579035672,0.15197190872554797
4,0.09628318492170078,-25.965073777244125,0.02103966468604999,-0.19356842053246143,0.13427858336061993
5,0.12044910612997621,-20.755654237087146,0.01233327298358918,-0.17307483567035414,0.12610059011639216
6,0.1345073514974617,-18.586344702855722,0.008259235933831008,-0.16244004785718275,0.12356214382379498
7,0.144333973890512,-17.320939295251684,0.006124987268533278,-0.1519960287701708,0.1211065022203094
8,0.1478785314979524,-16.90576701483282,0.0053396836141560745,-0.14719438793990824,0.12111749211360857
9,0.14998582890503778,-16.66824138154314,0.004617561671767314,-0.14339497914912125,0.12159459228035947
10,0.15164937533364406,-16.485395963549113,0.0038387197205215985,-0.1398461683914124,0.12166132767298586
11,0.1522586398932788,-16.41942947705497,0.0034975339348832855,-0.13811869833163573,0.12258733849226378
12,0.15363127196849427,-16.27272864415706,0.002792162779801862,-0.1357112007195505,0.12286651087047563
13,0.154313932144347,-16.2007406930793,0.0028194430870501315,-0.13357243063549637,0.12339982326040524
14,0.15529302623055288,-16.098597990410862,0.002562308213727068,-0.13026098667466054,0.12288280619537263
15,0.1546807133957997,-16.162325251261006,0.0021193508644061494,-0.1292806059225733,0.12368836648397996
16,0.15489236131362563,-16.140240737488707,0.0015790763787806748,-0.127672822492557,0.12383314410855298
17,0.15509251427947807,-16.119411124478763,0.001518418114696867,-0.12615818851471766,0.12398847592971286
18,0.15554949275187174,-16.072054982448133,0.0016876281745963502,-0.12439973030462895,0.12391684664841221
19,0.15388871690369638,-16.245505520489207,0.0009077245429900499,-0.1252800748999871,0.12503394499904433
20,0.1539906437331844,-16.234752575823276,0.0010249282438897763,-0.12505630442918994,0.1255294169282575
21,0.15470308701833788,-16.159987807506777,0.00088233574422099,-0.12394900321661759,0.1255798825276543
22,0.15525961362354718,-16.10206248523629,0.0010678264835959658,-0.12231037894237431,0.12513565933930745
23,0.15583117113127365,-16.043003346833455,0.0015316045946622604,-0.11988103942909216,0.12422938199184552
24,0.1535245014265404,-16.284045717590033,0.0008088014022247236,-0.1217251262883843,0.12577482797076875
25,0.15398859031150744,-16.23496906454359,0.0007900232361481941,-0.12043983854553161,0.12530149861899242
26,0.15331669319386357,-16.30611740913847,0.00019591667651538565,-0.12102558674819841,0.12572001473158495
27,0.1535388649005333,-16.282522354320964,0.00015861466815940507,-0.12067850900125761,0.12553809707670618
28,0.15331669319386357,-16.30611740913847,0.00020667817571616497,-0.12054620640402859,0.12557489709488084
29,0.15331669319386357,-16.30611740913847,0.00021358176175388335,-0.12024359947635632,0.12549539724507022
30,0.15325172312494645,-16.313030281308777,4.03350319418183e-05,-0.12033863473241964,0.12556246377684166
31,0.15325172312494645,-16.313030281308777,0.0,-0.12033863473241964,0.12556246377684166
