iteration,vortex_area,omega_value,error,psi_min
1,0.04810162693732829,-51.973294027190704,0.02425412818746314,-0.1402305712850515
2,0.08448491652627887,-29.591080902854177,0.02975073825158622,-0.17733108181618434
3,0.11654471105574875,-21.450994878730565,0.021409974727312136,-0.17798477216828165
4,0.142535204947988,-17.53952646935377,0.012536105746607028,-0.16689027022259914
5,0.1570636652435183,-15.91711231317499,0.011559011698574689,-0.170188958699178
6,0.1719813047904399,-14.536463733928887,0.005438311020546473,-0.16034583012981318
7,0.18080976742494223,-13.826686664136108,0.003250621856905452,-0.1535973432198517
8,0.18649010938195718,-13.405536670471134,0.002482012383540811,-0.1467778701499498
9,0.18519870836025898,-13.499014232522933,0.0018549100127305792,-0.1474355233076572
10,0.18606937891704078,-13.43584857729131,0.0005017859014958221,-0.1462549868814385
11,0.18583607664977558,-13.452716205968283,0.00016593318773007885,-0.14641753848419456
12,0.18543367859197687,-13.48190910617122,0.00023162443401330508,-0.14696280871950046
13,0.18543367859197687,-13.48190910617122,0.0,-0.14696280871950046
